Zip,state,Primary eGRID Subregion,Subregion annual CO2e output emission rate (lb/MWh)
02565,MA,NEWE,727.603
02568,MA,NEWE,727.603
02571,MA,NEWE,727.603
02573,MA,NEWE,727.603
02574,MA,NEWE,727.603
02575,MA,NEWE,727.603
02576,MA,NEWE,727.603
02584,MA,NEWE,727.603
02601,MA,NEWE,727.603
02630,MA,NEWE,727.603
02631,MA,NEWE,727.603
02632,MA,NEWE,727.603
02633,MA,NEWE,727.603
02634,MA,NEWE,727.603
02635,MA,NEWE,727.603
02637,MA,NEWE,727.603
02638,MA,NEWE,727.603
02639,MA,NEWE,727.603
02641,MA,NEWE,727.603
02642,MA,NEWE,727.603
02643,MA,NEWE,727.603
02644,MA,NEWE,727.603
02645,MA,NEWE,727.603
02646,MA,NEWE,727.603
02648,MA,NEWE,727.603
02649,MA,NEWE,727.603
02650,MA,NEWE,727.603
02651,MA,NEWE,727.603
02652,MA,NEWE,727.603
02653,MA,NEWE,727.603
02655,MA,NEWE,727.603
02657,MA,NEWE,727.603
02659,MA,NEWE,727.603
02660,MA,NEWE,727.603
02661,MA,NEWE,727.603
02662,MA,NEWE,727.603
02663,MA,NEWE,727.603
02664,MA,NEWE,727.603
02666,MA,NEWE,727.603
02667,MA,NEWE,727.603
02668,MA,NEWE,727.603
02669,MA,NEWE,727.603
02670,MA,NEWE,727.603
02671,MA,NEWE,727.603
02672,MA,NEWE,727.603
02673,MA,NEWE,727.603
02675,MA,NEWE,727.603
02702,MA,NEWE,727.603
02703,MA,NEWE,727.603
02712,MA,NEWE,727.603
02713,MA,NEWE,727.603
02714,MA,NEWE,727.603
02715,MA,NEWE,727.603
02717,MA,NEWE,727.603
02718,MA,NEWE,727.603
02719,MA,NEWE,727.603
02720,MA,NEWE,727.603
02721,MA,NEWE,727.603
02722,MA,NEWE,727.603
02723,MA,NEWE,727.603
02724,MA,NEWE,727.603
02725,MA,NEWE,727.603
02726,MA,NEWE,727.603
02738,MA,NEWE,727.603
02739,MA,NEWE,727.603
02740,MA,NEWE,727.603
02741,MA,NEWE,727.603
02742,MA,NEWE,727.603
02743,MA,NEWE,727.603
02744,MA,NEWE,727.603
02745,MA,NEWE,727.603
02746,MA,NEWE,727.603
02747,MA,NEWE,727.603
02748,MA,NEWE,727.603
02760,MA,NEWE,727.603
02761,MA,NEWE,727.603
02762,MA,NEWE,727.603
02763,MA,NEWE,727.603
02764,MA,NEWE,727.603
02766,MA,NEWE,727.603
02767,MA,NEWE,727.603
02768,MA,NEWE,727.603
02769,MA,NEWE,727.603
02770,MA,NEWE,727.603
02771,MA,NEWE,727.603
02777,MA,NEWE,727.603
02779,MA,NEWE,727.603
02780,MA,NEWE,727.603
02783,MA,NEWE,727.603
02790,MA,NEWE,727.603
02791,MA,NEWE,727.603
02801,RI,NEWE,727.603
02802,RI,NEWE,727.603
02804,RI,NEWE,727.603
02806,RI,NEWE,727.603
02807,RI,NEWE,727.603
02808,RI,NEWE,727.603
02809,RI,NEWE,727.603
02812,RI,NEWE,727.603
02813,RI,NEWE,727.603
02814,RI,NEWE,727.603
02815,RI,NEWE,727.603
02816,RI,NEWE,727.603
02817,RI,NEWE,727.603
02818,RI,NEWE,727.603
02822,RI,NEWE,727.603
02823,RI,NEWE,727.603
02824,RI,NEWE,727.603
02825,RI,NEWE,727.603
02826,RI,NEWE,727.603
02827,RI,NEWE,727.603
02828,RI,NEWE,727.603
02829,RI,NEWE,727.603
02830,RI,NEWE,727.603
02831,RI,NEWE,727.603
02832,RI,NEWE,727.603
02833,RI,NEWE,727.603
02835,RI,NEWE,727.603
02836,RI,NEWE,727.603
02837,RI,NEWE,727.603
02838,RI,NEWE,727.603
02839,RI,NEWE,727.603
02840,RI,NEWE,727.603
02841,RI,NEWE,727.603
02842,RI,NEWE,727.603
02852,RI,NEWE,727.603
02857,RI,NEWE,727.603
02858,RI,NEWE,727.603
02859,RI,NEWE,727.603
02860,RI,NEWE,727.603
02861,RI,NEWE,727.603
02862,RI,NEWE,727.603
02863,RI,NEWE,727.603
02864,RI,NEWE,727.603
02865,RI,NEWE,727.603
02871,RI,NEWE,727.603
02872,RI,NEWE,727.603
02873,RI,NEWE,727.603
02874,RI,NEWE,727.603
02875,RI,NEWE,727.603
02876,RI,NEWE,727.603
02877,RI,NEWE,727.603
02878,RI,NEWE,727.603
02879,RI,NEWE,727.603
02880,RI,NEWE,727.603
02881,RI,NEWE,727.603
02882,RI,NEWE,727.603
02883,RI,NEWE,727.603
02885,RI,NEWE,727.603
02886,RI,NEWE,727.603
02887,RI,NEWE,727.603
02888,RI,NEWE,727.603
02889,RI,NEWE,727.603
02891,RI,NEWE,727.603
02892,RI,NEWE,727.603
02893,RI,NEWE,727.603
02894,RI,NEWE,727.603
02895,RI,NEWE,727.603
02896,RI,NEWE,727.603
02898,RI,NEWE,727.603
02901,RI,NEWE,727.603
02902,RI,NEWE,727.603
02903,RI,NEWE,727.603
02904,RI,NEWE,727.603
02905,RI,NEWE,727.603
02906,RI,NEWE,727.603
02907,RI,NEWE,727.603
02908,RI,NEWE,727.603
02909,RI,NEWE,727.603
02910,RI,NEWE,727.603
02911,RI,NEWE,727.603
02912,RI,NEWE,727.603
02914,RI,NEWE,727.603
02915,RI,NEWE,727.603
02916,RI,NEWE,727.603
02917,RI,NEWE,727.603
02918,RI,NEWE,727.603
02919,RI,NEWE,727.603
02920,RI,NEWE,727.603
02921,RI,NEWE,727.603
02940,RI,NEWE,727.603
03031,NH,NEWE,727.603
03032,NH,NEWE,727.603
03033,NH,NEWE,727.603
03034,NH,NEWE,727.603
03036,NH,NEWE,727.603
03037,NH,NEWE,727.603
03038,NH,NEWE,727.603
03040,NH,NEWE,727.603
03041,NH,NEWE,727.603
03042,NH,NEWE,727.603
03043,NH,NEWE,727.603
03044,NH,NEWE,727.603
03045,NH,NEWE,727.603
03046,NH,NEWE,727.603
03047,NH,NEWE,727.603
03048,NH,NEWE,727.603
03049,NH,NEWE,727.603
03051,NH,NEWE,727.603
03052,NH,NEWE,727.603
03053,NH,NEWE,727.603
03054,NH,NEWE,727.603
03055,NH,NEWE,727.603
03057,NH,NEWE,727.603
03060,NH,NEWE,727.603
03061,NH,NEWE,727.603
03062,NH,NEWE,727.603
03063,NH,NEWE,727.603
03064,NH,NEWE,727.603
03070,NH,NEWE,727.603
03071,NH,NEWE,727.603
03073,NH,NEWE,727.603
03076,NH,NEWE,727.603
03077,NH,NEWE,727.603
03079,NH,NEWE,727.603
03082,NH,NEWE,727.603
03084,NH,NEWE,727.603
03086,NH,NEWE,727.603
