year,temp
356.07,35.99223903
356.24,39.7751811
356.64,35.57767541
356.69,35.98622854
356.9,38.951483
357.09,34.72699144
357.22,42.29394732
357.53,43.15461411
357.54,42.31263338
357.63,40.62887108
357.73,40.21168411
357.81,40.19801726
358.12,43.99089062
324.34,27.12549421
324.35,25.85801796
324.38,27.12535098
324.38,26.29083858
324.43,27.12613325
324.48,27.12595898
324.49,27.55448189
324.53,24.59126984
324.55,26.70749989
324.57,29.66143325
324.58,24.593577
324.61,31.77012653
324.62,27.55821625
325.23,27.54144856
325.33,27.55295819
268.9,32.17365727
269.4,27.96541352
269.9,28.8179347
270,25.44085537
270.3,30.49372067
271.1,27.12755086
272.2,28.39386243
273,33.0368258
273.1,28.38612865
273.8,30.49989895
274.2,27.96932985
274.5,28.40186501
275,28.81005427
275.1,28.81936593
275.1,25.43576965
275.1,27.54166044
275.1,29.66042675
275.4,27.97093846
276.4,29.65488952
277,27.56162346
279.1,28.39624664
279.2,30.92548078
279.3,30.91892826
279.5,28.81493651
280.9,30.0828728
282.9,26.70428856
284.7,28.396676
284.7,26.70543411
284.7,30.07745833
286.8,31.35171079
288.5,28.8139415
290.1,29.66243911
290.1,26.28812003
290.5,28.80439864
291.2,26.70277166
291.3,30.08669992
291.7,33.86709931
292.3,29.22218765
292.3,27.12827065
293.2,27.97063782
293.2,27.12412809
293.4,26.70604871
293.5,25.43169261
293.8,27.55001985
294.1,28.3953824
294.6,31.77260757
294.6,30.50404447
294.9,38.91969643
295.6,30.08710568
296,29.22891606
296.3,30.51467248
296.3,30.49740374
296.5,35.14519805
296.5,30.08221406
296.7,30.91915532
296.9,30.92567587
296.9,28.39467719
297.4,27.55148886
297.4,29.66078992
297.6,27.9687661
298.1,31.34259821
298.2,29.66248303
298.6,32.19867392
298.8,35.12912828
298.8,30.06812209
298.9,27.96778599
299,26.27883481
299,32.1887242
299.2,30.5033232
299.3,31.75712483
299.5,27.54361855
299.5,32.60017172
299.5,33.86462945
299.6,28.80487903
299.8,30.07051417
300,29.22979999
300.1,30.90608391
300.7,31.77643245
300.7,31.34159507
301.4,29.66532917
301.7,28.82081853
301.7,28.38855176
301.9,27.55327005
302.4,27.96460414
302.9,30.08421059
303.4,29.67397175
303.5,28.386983
303.7,31.78024873
304,26.70901649
304.2,27.9749165
304.3,30.08551667
304.6,28.81595259
304.8,30.50487048
305,31.75655678
305.1,27.97768506
305.3,28.38440085
305.5,29.66689453
305.6,27.54304245
305.9,28.38880787
306,29.6584027
306.2,29.22834127
306.4,29.22122343
306.8,26.70466897
307,30.0771868
307.4,30.08755578
307.5,29.23406561
307.8,27.97179416
308.1,29.2461967
308.2,26.70955222
308.4,28.8099228
309.4,30.92949425
309.6,33.45400865
309.8,30.9209859
309.9,30.92146282
310.1,30.07805439
310.3,29.22603485
311.2,30.07604827
311.6,27.96966453
311.7,28.39173366
311.8,29.65997902
311.9,31.35492579
312.1,30.5042206
312.4,29.22246727
312.4,29.23350785
312.6,31.3609581
312.7,31.35483596
312.7,31.35652893
312.8,27.55247495
312.8,30.09129278
313.1,30.5090081
313.1,30.91141874
313.6,31.35796445
313.7,29.23457882
313.7,29.24709373
313.7,30.92721923
313.8,29.65720444
313.8,31.34817774
313.9,28.393296
314,29.23460318
314,30.09456554
314,30.08014025
314.5,27.12767204
314.6,27.55189557
314.7,27.9651556
314.8,27.97412911
315,27.55022375
315,28.39101738
315.1,25.87149223
315.1,27.12415867
315.1,28.3993473
315.2,26.69392449
315.2,26.28435383
315.3,27.55673245
315.3,30.93677534
315.3,27.54731944
315.3,29.23667179
315.4,26.70082539
315.4,28.38955632
315.4,25.01501832
315.5,32.62459655
315.5,26.28465685
315.7,30.51179057
315.7,29.23340002
315.8,27.12701576
316,25.85505386
316,27.11878571
316.1,25.85986979
316.1,26.70584817
316.1,26.28252162
316.2,24.59852434
316.2,25.86071443
316.2,25.8629851
316.3,26.70868932
316.4,26.71184657
316.4,27.55206526
316.4,30.08573438
316.5,27.12305733
316.6,28.39399385
316.7,28.8147952
316.9,27.9685607
317,26.69634383
317.1,27.12171713
317.2,28.38846196
317.2,27.96587979
317.4,29.66617976
317.4,27.96808221
317.5,26.6996753
317.6,27.11988749
317.6,27.54026529
317.8,24.59299466
317.9,25.43873986
318.2,26.27798385
318.3,25.85076071
318.4,23.74868667
318.6,22.9089605
318.6,27.98104555
318.8,26.69506893
319.8,27.54590851
320.2,18.68643318
321.1,25.01997855
321.3,23.75036993
321.4,28.80627494
322.2,25.86017513
322.4,25.02900399
322.5,25.43601548
322.6,27.97175969
322.8,26.70004695
323.1,26.2873067
323.3,25.01469872
323.7,25.85991158
323.8,27.55295165
323.9,28.39597129
324.1,27.96780288
324.2,27.13406938
324.4,27.55957938
324.5,30.92139953
324.6,28.8099719
324.8,27.55068227
324.9,28.81096445
325.2,25.85560052
325.4,30.07201536
325.4,27.95972046
325.6,29.23228526
325.9,29.65967321
325.9,28.39554158
326,27.11991564
326.1,28.39515739
326.2,27.12970989
326.3,28.39340831
326.5,27.96742174
326.6,29.2312395
326.7,27.55142054
326.9,28.39423821
327,28.40303301
327.1,29.22938187
327.2,30.07900044
327.2,35.97004549
327.3,28.39039462
327.3,35.14817263
327.5,29.66905039
327.6,29.23410249
327.7,30.50088112
327.8,33.47544976
327.8,27.98222897
328,27.55126435
328.2,26.28625535
328.3,31.33994761
328.5,25.86696343
328.6,24.58870019
328.7,26.28113231
328.8,26.69708383
328.8,25.43324408
328.8,25.43352144
328.9,27.96756429
329,27.97403197
329,27.13511326
329.2,25.86425953
329.3,25.43583176
329.5,27.12568972
329.7,27.13564975
329.7,27.11685998
329.7,26.27736816
330.1,24.59360765
330.1,23.74914317
330.2,27.12277405
330.2,27.55398616
330.2,25.85768463
330.3,25.01629034
330.5,22.06413986
330.5,27.98519344
330.5,27.12289263
330.5,22.90606703
330.5,24.59437577
330.6,26.71073324
330.7,20.3698306
330.7,25.4404131
330.8,24.16722198
330.8,22.9090924
330.9,24.59258328
330.9,23.75073627
330.9,25.43260089
330.9,25.4332878
331.3,25.85838561
331.5,24.17775502
332,26.70955985
332,23.74978412
332.5,24.17127732
332.9,23.7475223
333.1,26.69812754
333.2,24.16739521
